"repo","starred_at","url","description"
"alexknowshtml/smaug","2026-07-15T09:09:10Z","https://github.com/alexknowshtml/smaug","Archive your Twitter/X bookmarks to markdown with AI-powered analysis. Supports Claude Code and OpenCode for multi-model flexibility. Like a dragon hoarding treasure, Smaug collects the valuable things you bookmark."
"FelixKratz/SketchyBar","2026-07-14T09:25:51Z","https://github.com/FelixKratz/SketchyBar","A highly customizable macOS status bar replacement"
"timescale/pg-guide","2026-07-11T13:03:35Z","https://github.com/timescale/pg-guide","PG guide to devops/infra engineers"
"mzfr/liffy","2026-07-08T06:56:09Z","https://github.com/mzfr/liffy","Local file inclusion exploitation tool"
"J-jaeyoung/bad-epoll","2026-07-06T06:25:33Z","https://github.com/J-jaeyoung/bad-epoll",
"J-jaeyoung/security-research","2026-07-06T06:22:52Z","https://github.com/J-jaeyoung/security-research","This project hosts security advisories and their accompanying proof-of-concepts related to research conducted at Google which impact non-Google owned code."
"wdm0006/python-skills","2026-07-06T02:36:20Z","https://github.com/wdm0006/python-skills","a set of claude skills for python development based on mcginniscommawill.com writings."
"rizemon/exploit-writing-for-oswe","2026-07-06T02:15:38Z","https://github.com/rizemon/exploit-writing-for-oswe","Tips on how to write exploit scripts (faster!)"
"tobi/try","2026-06-26T05:28:48Z","https://github.com/tobi/try","fresh directories for every vibe"
"musana/CF-Hero","2026-06-25T07:59:11Z","https://github.com/musana/CF-Hero","CF-Hero is a reconnaissance tool that uses multiple data sources to discover the origin IP addresses of Cloudflare-protected web applications"
"minhhungtsbd/my_hass_addon_public","2026-06-25T07:10:19Z","https://github.com/minhhungtsbd/my_hass_addon_public","Home Assistant Add-on"
"78/xiaozhi-esp32","2026-06-24T10:35:17Z","https://github.com/78/xiaozhi-esp32","An MCP-based chatbot | 一个基于MCP的聊天机器人"
"christophetd/CloudFlair","2026-06-24T08:59:42Z","https://github.com/christophetd/CloudFlair","🔎 Find origin servers of websites behind CloudFlare by using Internet-wide scan data from Censys."
"brosck/mantra","2026-06-09T01:01:56Z","https://github.com/brosck/mantra","「🔑」A tool used to hunt down API key leaks in JS files and pages"
"ahatem/IoskeleyMono","2026-06-09T00:59:38Z","https://github.com/ahatem/IoskeleyMono","Iosevka configuration to mimic the look and feel of Berkeley Mono as closely as possible."
"The-XSS-Rat/SecurityTesting","2026-06-01T08:01:37Z","https://github.com/The-XSS-Rat/SecurityTesting",
"Hawzen/I-found-a-seashell-in-the-middle-of-the-desert","2026-05-31T09:00:44Z","https://github.com/Hawzen/I-found-a-seashell-in-the-middle-of-the-desert",
"dergraf/canister","2026-05-24T10:11:33Z","https://github.com/dergraf/canister","A lightweight sandbox for running untrusted code safely on Linux"
"dirsigler/astro-techradar","2026-05-21T05:36:42Z","https://github.com/dirsigler/astro-techradar","An interactive, fully static technology radar built with Astro. Track technology adoption decisions with a visual radar chart — driven entirely by Markdown files."
"setchy/thoughtworks-tech-radar-volumes","2026-05-20T11:03:03Z","https://github.com/setchy/thoughtworks-tech-radar-volumes","CLI and complete collection of Thoughtworks Technology Radar datasets (JSON, CSV and Google Sheets)"
"AnLoMinus/Bug-Bounty","2026-05-16T13:20:32Z","https://github.com/AnLoMinus/Bug-Bounty","Bug Bounty ~ Awesomes | Books | Cheatsheets | Checklists | Tools | Wordlists | More"
"DepthFirstDisclosures/Nginx-Rift","2026-05-14T03:09:22Z","https://github.com/DepthFirstDisclosures/Nginx-Rift","exploit for CVE-2026-42945"
"V4bel/dirtyfrag","2026-05-08T05:28:42Z","https://github.com/V4bel/dirtyfrag",
"projectdiscovery/uncover","2026-05-07T14:36:46Z","https://github.com/projectdiscovery/uncover","Quickly discover exposed hosts on the internet using multiple search engines."
"yeswehack/PwnFox","2026-05-05T02:47:34Z","https://github.com/yeswehack/PwnFox","PwnFox is a Firefox/Burp extension that provide usefull tools for your security audit."
"yeswehack/pp-finder","2026-05-01T09:48:13Z","https://github.com/yeswehack/pp-finder","PP-finder Help you find gadget for prototype pollution exploitation"
"badsectorlabs/copyfail-go","2026-04-30T10:46:57Z","https://github.com/badsectorlabs/copyfail-go","A Go implementation of copyfail (CVE-2026-31431)"
"dmtrKovalenko/fff","2026-04-22T16:02:18Z","https://github.com/dmtrKovalenko/fff","The fastest and the most accurate file search SDK for AI agents, Neovim, Rust, C,  Python, Bun and NodeJS"
"dmno-dev/varlock","2026-04-21T07:43:36Z","https://github.com/dmno-dev/varlock","AI-safe .env files: Schemas for agents, Secrets for humans."
"pmoskovi/kafka-learning-resources","2026-04-18T10:53:33Z","https://github.com/pmoskovi/kafka-learning-resources","A curated list of Apache Kafka learning resources"
"versity/versitygw","2026-04-18T02:02:02Z","https://github.com/versity/versitygw","A simple to deploy but feature rich S3 object storage server for your filesystem"
"projectdiscovery/katana","2026-04-14T08:14:12Z","https://github.com/projectdiscovery/katana","A next-generation crawling and spidering framework."
"Hari-prasaanth/Thick-Client-Pentest-Checklist","2026-04-12T13:22:00Z","https://github.com/Hari-prasaanth/Thick-Client-Pentest-Checklist","A OWASP Based Checklist With 80+ Test Cases"
"FAlthausen/Vollkorn-Typeface","2026-04-11T03:38:47Z","https://github.com/FAlthausen/Vollkorn-Typeface","»Vollkorn« is the free and healthy typeface for bread and butter use."
"Imbuedhush/Incapsula-Bypass","2026-04-10T07:46:28Z","https://github.com/Imbuedhush/Incapsula-Bypass","A NodeJS based server that helps to bypass incapsula WAF"
"chawdamrunal/JWTLens","2026-04-09T11:42:38Z","https://github.com/chawdamrunal/JWTLens","JWTLens - Burp Suite extension for automated JWT security testing. 62 checks:   passive scanning, algorithm confusion, signature bypass, KID injection, weak secret brute force, and a built-in JWT Forge tab. Works automatically as you   browse."
"ffuf/ffuf","2026-04-09T08:52:08Z","https://github.com/ffuf/ffuf","Fast web fuzzer written in Go"
"httptoolkit/frida-interception-and-unpinning","2026-04-07T08:45:51Z","https://github.com/httptoolkit/frida-interception-and-unpinning","Frida scripts to rewrite mobile applications at runtime to directly MitM all HTTPS traffic"
"trufflesecurity/trufflehog-burp-suite-extension","2026-04-07T02:18:09Z","https://github.com/trufflesecurity/trufflehog-burp-suite-extension","Official TruffleHog Burp Suite Extension. Scan Burp Suite traffic for 800+ different types of secrets (API keys, passwords, SSH keys, etc) using TruffleHog."
"danielmiessler/SecLists","2026-04-05T03:00:45Z","https://github.com/danielmiessler/SecLists","SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more."
"vavkamil/awesome-bugbounty-tools","2026-03-30T09:38:25Z","https://github.com/vavkamil/awesome-bugbounty-tools","A curated list of various bug bounty tools"
"trimstray/the-book-of-secret-knowledge","2026-03-30T07:53:03Z","https://github.com/trimstray/the-book-of-secret-knowledge","A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
"svent/sift","2026-03-30T02:20:39Z","https://github.com/svent/sift","A fast and powerful alternative to grep"
"slavingia/skills","2026-03-27T12:42:05Z","https://github.com/slavingia/skills","Based on The Minimalist Entrepreneur by Sahil Lavingia"
"curtishoughton/Penetration-Testing-Cheat-Sheet","2026-03-27T06:50:27Z","https://github.com/curtishoughton/Penetration-Testing-Cheat-Sheet","An in-depth guide to help people who are new to penetration testing or red teaming and are looking to gain an overview of the penetration testing process.  This guide will focus on both the penetration testing and red team process and contain detailed information."
"numandev1/react-native-decompiler","2026-03-24T08:52:53Z","https://github.com/numandev1/react-native-decompiler","Decompile React Native Android/IOS Bundle."
"niklashigi/apk-mitm","2026-03-24T06:09:25Z","https://github.com/niklashigi/apk-mitm","🤖 A CLI application that automatically prepares Android APK files for HTTPS inspection"
"android/nowinandroid","2026-03-23T06:28:12Z","https://github.com/android/nowinandroid","A fully functional Android app built entirely with Kotlin and Jetpack Compose"
"SilentVoid13/Templater","2026-03-20T06:40:43Z","https://github.com/SilentVoid13/Templater","A template plugin for obsidian"
"ynsmroztas/AndroHunter","2026-03-20T04:31:12Z","https://github.com/ynsmroztas/AndroHunter","AndroHunter"
"Pilfer/hermes_rs","2026-03-19T11:47:28Z","https://github.com/Pilfer/hermes_rs","Hermes bytecode disassembler and assembler"
"P1sec/hermes-dec","2026-03-19T08:25:58Z","https://github.com/P1sec/hermes-dec","A reverse engineering tool for decompiling and disassembling the React Native Hermes bytecode"
"emanuele-f/PCAPdroid","2026-03-19T07:47:24Z","https://github.com/emanuele-f/PCAPdroid","No-root network monitor, firewall and PCAP dumper for Android"
"sivaprasadreddy/software-architecture-premier","2026-03-19T00:00:33Z","https://github.com/sivaprasadreddy/software-architecture-premier","Software Architecture Premier Presentation"
"obra/superpowers","2026-03-18T00:32:37Z","https://github.com/obra/superpowers","An agentic skills framework & software development methodology that works."
"BehiSecc/VibeSec-Skill","2026-03-10T15:52:25Z","https://github.com/BehiSecc/VibeSec-Skill","This skill helps Claude write secure code and prevent common vulnerabilities."
"mcollina/skills","2026-03-10T14:08:28Z","https://github.com/mcollina/skills","My own collection of skills for modern Node.js development"
"sarperavci/CloudflareBypassForScraping","2026-03-08T02:26:00Z","https://github.com/sarperavci/CloudflareBypassForScraping","A cloudflare verification bypass script for webscraping"
"elikaski/ECC_Attacks","2026-03-07T12:04:54Z","https://github.com/elikaski/ECC_Attacks","Known attacks on Elliptic Curve Cryptography"
"Proviesec/xss-payload-list","2026-03-06T13:58:01Z","https://github.com/Proviesec/xss-payload-list","xss-payload-list"
"featbit/featbit","2026-03-06T13:56:53Z","https://github.com/featbit/featbit","Enterprise-grade feature flag platform that you can self-host. Get started - free."
"ethicalhackingplayground/bxss","2026-03-06T13:56:40Z","https://github.com/ethicalhackingplayground/bxss","Blind XSS Scanner is a tool that can be used to scan for blind XSS vulnerabilities in web applications."
"byt3bl33d3r/SprayingToolkit","2026-03-06T13:52:29Z","https://github.com/byt3bl33d3r/SprayingToolkit","Scripts to make password spraying attacks against Lync/S4B, OWA & O365 a lot quicker, less painful and more efficient"
"deletehead/pen_300_osep_prep","2026-03-06T13:52:04Z","https://github.com/deletehead/pen_300_osep_prep","Preparation guide for Offensive Security's PEN-300 course and OSEP certification exam"
"ajinabraham/CMSScan","2026-03-06T12:37:34Z","https://github.com/ajinabraham/CMSScan","CMS Scanner: Scan Wordpress, Drupal, Joomla, vBulletin websites for Security issues"
"KeygraphHQ/shannon","2026-03-04T02:10:58Z","https://github.com/KeygraphHQ/shannon","Shannon is an autonomous, white-box AI pentester for web applications and APIs. It analyzes your source code, identifies attack vectors, and executes real exploits to prove vulnerabilities before they reach production."
"hackclub/hcb","2026-03-02T06:19:49Z","https://github.com/hackclub/hcb","🏦 Open source, transparency-orientated fiscal sponsorship platform for hackers & creatives."
"AGWA/git-crypt","2026-03-01T11:18:46Z","https://github.com/AGWA/git-crypt","Transparent file encryption in git"
"Netflix/zuul","2026-03-01T08:59:05Z","https://github.com/Netflix/zuul","Zuul is a gateway service that provides dynamic routing, monitoring, resiliency, security, and more."
"MedUnes/go-kata","2026-02-28T16:23:03Z","https://github.com/MedUnes/go-kata","A collection of daily coding challenges designed to help you master idiomatic Go through deliberate, repetitive practice."
"rapid7/metasploit-framework","2026-02-28T16:11:32Z","https://github.com/rapid7/metasploit-framework","Metasploit Framework"
"holman/extended-exercise-windows","2026-02-23T15:58:02Z","https://github.com/holman/extended-exercise-windows","A list of startups that have employee-friendly terms for exercising your options past 90 days."
"pirogoeth/lsso","2026-02-23T09:15:13Z","https://github.com/pirogoeth/lsso","Nginx SSO middleware for protecting your internets."
"PellelNitram/xournalpp_htr","2026-02-23T06:43:06Z","https://github.com/PellelNitram/xournalpp_htr","Developing handwritten text recognition for Xournal++"
"showlab/macosworld","2026-02-22T08:09:52Z","https://github.com/showlab/macosworld",
"sharkdp/hyperfine","2026-02-22T08:08:28Z","https://github.com/sharkdp/hyperfine","A command-line benchmarking tool"
"spring-projects/spring-ai-examples","2026-02-21T09:10:00Z","https://github.com/spring-projects/spring-ai-examples",
"projectdiscovery/subfinder","2026-02-16T07:10:41Z","https://github.com/projectdiscovery/subfinder","Fast passive subdomain enumeration tool."
"atuinsh/atuin","2026-02-14T02:13:49Z","https://github.com/atuinsh/atuin","✨ Making your shell magical"
"sheeki03/tirith","2026-02-03T13:37:17Z","https://github.com/sheeki03/tirith","Terminal security for developers and AI agents. Intercepts homograph URLs, pipe-to-shell, ANSI injection, obfuscated payloads, data exfiltration, and malicious AI skills/configs before they execute."
"tigerbeetle/tigerbeetle","2026-01-30T02:38:40Z","https://github.com/tigerbeetle/tigerbeetle","The financial transactions database designed for mission critical safety and performance."
"lodos2005/0eMG","2026-01-26T19:35:49Z","https://github.com/lodos2005/0eMG","Still a Type Juggling Challenge? 0eMG! Solve it NOW!"
"lobsters/lobsters","2026-01-26T12:20:14Z","https://github.com/lobsters/lobsters","Computing-focused community centered around link aggregation and discussion"
"awslabs/bedrock-usage-analyzer","2026-01-26T07:14:14Z","https://github.com/awslabs/bedrock-usage-analyzer",
"maxhu08/dotfiles","2026-01-25T10:23:17Z","https://github.com/maxhu08/dotfiles","💎 my dotfiles"
"georgd/EB-Garamond","2026-01-22T21:20:31Z","https://github.com/georgd/EB-Garamond","Digitization of the Garamond shown on the Egenolff-Berner specimen"
"matklad/matklad.github.io","2026-01-22T21:18:14Z","https://github.com/matklad/matklad.github.io","My coding related blog"
"charmbracelet/wish","2026-01-22T20:34:52Z","https://github.com/charmbracelet/wish","Make SSH apps, just like that! 💫"
"chunkhound/chunkhound","2026-01-19T04:59:34Z","https://github.com/chunkhound/chunkhound","Local first codebase intelligence"
"BurntSushi/dotfiles","2026-01-17T03:04:37Z","https://github.com/BurntSushi/dotfiles","My configuration files and personal collection of scripts."
"jdonsec/AllThingsSSRF","2026-01-13T08:05:17Z","https://github.com/jdonsec/AllThingsSSRF","This is a collection of writeups, cheatsheets, videos, books related to SSRF in one single location"
"dbreunig/whenwords","2026-01-13T07:31:53Z","https://github.com/dbreunig/whenwords","A relative time formatting library, with no code."
"aws-samples/siem-on-amazon-opensearch-service","2026-01-13T07:31:13Z","https://github.com/aws-samples/siem-on-amazon-opensearch-service","A solution for collecting, correlating and visualizing multiple types of logs to help investigate security incidents."
"Fission-AI/OpenSpec","2026-01-13T07:30:40Z","https://github.com/Fission-AI/OpenSpec","Spec-driven development (SDD) for AI coding assistants."
"CachyOS/wiki","2026-01-11T04:11:53Z","https://github.com/CachyOS/wiki","Wiki for CachyOS"
"realgenekim/genpassword","2026-01-09T11:00:30Z","https://github.com/realgenekim/genpassword","Safe password generator - no dangerous chars, double-click friendly, readable segments, auto-copy to clipboard"
"Chocapikk/CVE-2026-21858","2026-01-08T04:55:24Z","https://github.com/Chocapikk/CVE-2026-21858","n8n Ni8mare - Unauthenticated Arbitrary File Read to RCE Chain (CVSS 10.0)"
"CyanVoxel/Obsidian-Daily-Themes","2026-01-06T09:15:52Z","https://github.com/CyanVoxel/Obsidian-Daily-Themes","A Series of Daily Theme CSS Snippets for Obsidian."
"JorritWillaert/Operating-systems-Three-easy-pieces","2025-12-30T15:09:17Z","https://github.com/JorritWillaert/Operating-systems-Three-easy-pieces","Exercises from the book ""Operating systems: Three easy pieces"""
"tw93/Mole","2025-12-26T22:25:34Z","https://github.com/tw93/Mole","🐹 Clean, uninstall, analyze, optimize, and monitor your Mac from the terminal."
"mrh0wl/Cloudmare","2025-12-21T13:16:30Z","https://github.com/mrh0wl/Cloudmare","Cloudflare, Sucuri, Incapsula real IP tracker."
"Luigigreco/gitforms","2025-12-18T01:56:14Z","https://github.com/Luigigreco/gitforms","🎯 Zero-cost contact forms for landing pages using GitHub Issues as free database. Open-source alternative to Typeform/Tally/FormSpree. Next.js 14, TypeScript, Tailwind CSS. €0/month."
"nginx/nginx-acme","2025-12-17T04:35:00Z","https://github.com/nginx/nginx-acme","An NGINX module with the implementation of the automatic certificate management (ACMEv2) protocol"
"reorx/httpstat","2025-12-07T01:27:06Z","https://github.com/reorx/httpstat","curl statistics made simple"
"pomerium/pomerium","2025-12-06T10:30:17Z","https://github.com/pomerium/pomerium","Pomerium is an identity and context-aware access proxy."
"nginxinc/nginx-aws-signature","2025-12-04T10:17:02Z","https://github.com/nginxinc/nginx-aws-signature","NGINX AWS Signature Library to authenticate AWS services such as S3 and Lambda via NGINX and NGINX Plus."
"NullPxl/banrays","2025-11-28T08:01:27Z","https://github.com/NullPxl/banrays","Glasses to detect smart-glasses that have cameras. Ray-BANNED"
"duckdb/duckdb","2025-11-21T08:05:46Z","https://github.com/duckdb/duckdb","DuckDB is an analytical in-process SQL database management system"
"multiprocessio/dsq","2025-11-21T08:05:17Z","https://github.com/multiprocessio/dsq","Commandline tool for running SQL queries against JSON, CSV, Excel, Parquet, and more."
"madd86/awesome-system-design","2025-11-09T13:28:54Z","https://github.com/madd86/awesome-system-design","A curated list of awesome System Design (A.K.A. Distributed Systems) resources. "
"ayoisaiah/f2","2025-11-09T11:23:28Z","https://github.com/ayoisaiah/f2","F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!"
"ungoogled-software/ungoogled-chromium","2025-10-24T04:12:54Z","https://github.com/ungoogled-software/ungoogled-chromium","Google Chromium, sans integration with Google"
"fabric/fabric","2025-10-20T03:50:48Z","https://github.com/fabric/fabric","Simple, Pythonic remote execution and deployment."
"meirwah/awesome-workflow-engines","2025-10-20T03:49:00Z","https://github.com/meirwah/awesome-workflow-engines","A curated list of awesome open source workflow engines"
"xataio/pgroll","2025-10-19T09:22:48Z","https://github.com/xataio/pgroll","PostgreSQL zero-downtime migrations made easy"
"subhashchy/The-Accidental-CTO","2025-10-19T09:09:09Z","https://github.com/subhashchy/The-Accidental-CTO","How I Scaled from Zero to a Million Store on Dukaan,  Without a CS Degree.  .. A System Design Handbook by  Subhash Choudhary "
"ory/oathkeeper","2025-10-15T10:22:49Z","https://github.com/ory/oathkeeper","A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and mutates incoming HTTP(s) requests. Inspired by the BeyondCorp / Zero Trust white paper. Written in Go."
"fosrl/pangolin","2025-09-27T08:30:17Z","https://github.com/fosrl/pangolin","Identity-aware VPN and tunneled reverse proxy for remote access based on WireGuard®."
"cult-of-coders/redis-oplog","2025-09-25T03:58:17Z","https://github.com/cult-of-coders/redis-oplog","Redis Oplog implementation to fully replace MongoDB Oplog in Meteor"
"11notes/docker-adguard","2025-09-11T09:18:18Z","https://github.com/11notes/docker-adguard","Run AdGuardHome rootless and distroless."
"simonrob/email-oauth2-proxy","2025-09-03T14:26:40Z","https://github.com/simonrob/email-oauth2-proxy","An IMAP/POP/SMTP proxy that transparently adds OAuth 2.0 authentication for email clients that don't support this method. Keep legacy email clients working with Exchange Online, Gmail and other providers."
"DarioCalovic/secretify","2025-09-02T08:27:31Z","https://github.com/DarioCalovic/secretify","A secure way to transfer or share secrets"
"jkroepke/openvpn-auth-oauth2","2025-08-27T01:39:37Z","https://github.com/jkroepke/openvpn-auth-oauth2","openvpn-auth-oauth2 is a plugin/management interface client for OpenVPN server to handle an OIDC based single sign-on (SSO) auth flows"
"GramThanos/vpn-oidc","2025-08-27T01:38:28Z","https://github.com/GramThanos/vpn-oidc","VPN Authentication through Open ID Connect using OpenVPN"
"nikitabobko/AeroSpace","2025-08-22T02:59:07Z","https://github.com/nikitabobko/AeroSpace","AeroSpace is an i3-like tiling window manager for macOS"
"netheril96/securefs","2025-08-13T08:15:22Z","https://github.com/netheril96/securefs","Filesystem in userspace (FUSE) with transparent authenticated encryption"
"google/fscrypt","2025-08-13T08:05:41Z","https://github.com/google/fscrypt","Go tool for managing Linux filesystem encryption"
"msp4msps/ScubaGear","2025-08-11T09:37:23Z","https://github.com/msp4msps/ScubaGear","Automation to assess the state of your M365 tenant against CISA's baselines"
"CompliantSec/M365SAT","2025-08-11T09:16:46Z","https://github.com/CompliantSec/M365SAT","Microsoft 365 Security Assessment Tool - A Easy-To-Use Microsoft 365 Security Assessment Tool "
"alaanasser00/entraid-bench","2025-08-11T09:12:18Z","https://github.com/alaanasser00/entraid-bench","Microsoft Entra ID Security Assessment Tool"
"rfjakob/gocryptfs","2025-08-10T13:18:28Z","https://github.com/rfjakob/gocryptfs","Encrypted overlay filesystem written in Go"
"SecObserve/SecObserve","2025-07-31T11:16:07Z","https://github.com/SecObserve/SecObserve","SecObserve is an open source vulnerability and license management system for software development teams and cloud environments. It supports a variety of open source vulnerability scanners and integrates easily into CI/CD pipelines."
"contains-studio/agents","2025-07-31T01:37:57Z","https://github.com/contains-studio/agents","sharing current agents in use"
"EsotericSoftware/kryo","2025-07-21T05:03:11Z","https://github.com/EsotericSoftware/kryo","Java binary serialization and cloning: fast, efficient, automatic"
"Vinzent03/obsidian-git","2025-07-18T11:27:19Z","https://github.com/Vinzent03/obsidian-git","Integrate Git version control with automatic commit-and-sync and other advanced features in Obsidian.md"
"syncthing/syncthing","2025-07-18T11:26:37Z","https://github.com/syncthing/syncthing","Open Source Continuous File Synchronization"
"remotely-save/remotely-save","2025-07-18T11:24:14Z","https://github.com/remotely-save/remotely-save","Sync notes between local and cloud with smart conflict: S3 (Amazon S3/Cloudflare R2/Backblaze B2/...), Dropbox, webdav (NextCloud/InfiniCLOUD/Synology/...), OneDrive, Google Drive (GDrive), Box, pCloud, Yandex Disk, Koofr, Azure Blob Storage."
"vrtmrz/obsidian-livesync","2025-07-18T11:22:46Z","https://github.com/vrtmrz/obsidian-livesync",
"SAP/macOS-enterprise-privileges","2025-07-08T04:44:35Z","https://github.com/SAP/macOS-enterprise-privileges","This application gives Mac users in enterprise environments control over the administration of their machines by elevating their access level to administrator privileges on macOS. Users can set a timeframe in the application's settings to perform specific tasks, such as installing or uninstalling applications."
"pyinstaller/pyinstaller","2025-07-05T02:45:00Z","https://github.com/pyinstaller/pyinstaller","Freeze (package) Python programs into stand-alone executables"
"nicolas-van/multirun","2025-06-28T04:34:41Z","https://github.com/nicolas-van/multirun","A minimalist init process designed for Docker"
"dequelabs/axe-devtools-html-api-examples","2025-06-27T04:10:27Z","https://github.com/dequelabs/axe-devtools-html-api-examples","Library of example projects for axe DevTools HTML api integrations"
"izabera/bitwise-challenge-2048","2025-06-21T08:22:32Z","https://github.com/izabera/bitwise-challenge-2048","2048 with only 64 bits of state"
"lpelypenko/axe-html-reporter","2025-06-18T08:52:48Z","https://github.com/lpelypenko/axe-html-reporter","Creates easy to read HTML file from axe-core® accessibility results object"
"FiloSottile/age","2025-06-18T08:45:28Z","https://github.com/FiloSottile/age","A simple, modern and secure encryption tool (and Go library) with small explicit keys, no config options, and UNIX-style composability."
"FiloSottile/passage","2025-06-18T08:32:59Z","https://github.com/FiloSottile/passage","A fork of password-store (https://www.passwordstore.org) that uses age (https://age-encryption.org) as backend."
